Rule: ('20913698224569728',) ==> ('10132773012132480',) , 0.175
Rule: ('7304178417862144',) ==> ('10666016019011968',) , 0.176
Rule: ('27495136970899456',) ==> ('7304178417862144',) , 0.176
Rule: ('9664617818813440',) ==> ('7304178417862144',) , 0.177
Rule: ('8323222491274496',) ==> ('11469144838403584', '10666016019011968') , 0.179
Rule: ('22370628148540672',) ==> ('27659050913272320',) , 0.180
Rule: ('21352602247922688', '12890630300398464') ==> ('27659050913272320',) , 0.183
Rule: ('21352602247922688', '27424405030704256') ==> ('25684213132401152',) , 0.183
Rule: ('21352602247922688', '25684213132401152') ==> ('27424405030704256',) , 0.184
Rule: ('8961628846367488',) ==> ('10666016019011968',) , 0.187
Rule: ('22415744092814848',) ==> ('7622515220085888',) , 0.188
Rule: ('10666016019011968', '9664617818813440') ==> ('7304178417862144',) , 0.188
Rule: ('24220355941053056',) ==> ('22370628148540672',) , 0.189
Rule: ('7012469608031488',) ==> ('13183241053306368',) , 0.189
Rule: ('21925619338357120',) ==> ('22682133268421888',) , 0.191
Rule: ('27659050913272320', '12890630300398464') ==> ('22370628148540672',) , 0.191
Rule: ('17177271533881472',) ==> ('16754961358140416',) , 0.192
Rule: ('8649031194089216',) ==> ('10666016019011968',) , 0.193
Rule: ('27659050913272320', '5420474487543424') ==> ('22370628148540672',) , 0.194
Rule: ('9869596206970368',) ==> ('10666016019011968',) , 0.194
Rule: ('17941835331811840',) ==> ('17730032213977472',) , 0.195
Rule: ('17875816351653376',) ==> ('17871118731058944',) , 0.195
Rule: ('5368145410852864', '8761980780914176') ==> ('24555101931700992',) , 0.195
Rule: ('21925619338357120',) ==> ('17941835331811840',) , 0.195
Rule: ('11128164968921216',) ==> ('10666016019011968',) , 0.196
Rule: ('21352602247922688', '27424405030704256') ==> ('27659050913272320',) , 0.196
Rule: ('18140151421282816',) ==> ('10702039788833536',) , 0.197
Rule: ('27424405030704256', '25684213132401152') ==> ('21352602247922688',) , 0.198
Rule: ('9619453553227520',) ==> ('17020968010150272',) , 0.198
Rule: ('16155769128467456',) ==> ('11469144838403584',) , 0.204
Rule: ('10666016019011968', '7304178417862144') ==> ('9869596206970368',) , 0.206
Rule: ('11469144838403584', '7304178417862144') ==> ('9869596206970368',) , 0.206
Rule: ('17177271533881472',) ==> ('21925619338357120',) , 0.207
Rule: ('12233314009915392',) ==> ('11469144838403584',) , 0.208
Rule: ('8618141789529216',) ==> ('7944825135218048',) , 0.212
Rule: ('11469144838403584', '9664617818813440') ==> ('10666016019011968',) , 0.215
Rule: ('10710203447951488',) ==> ('8173457518590080',) , 0.215
Rule: ('27659050913272320', '27424405030704256') ==> ('25684213132401152',) , 0.216
Rule: ('18472821871592704',) ==> ('2555123523197559808',) , 0.216
Rule: ('7708925667033344',) ==> ('10702039788833536',) , 0.218
Rule: ('5900178311639552',) ==> ('24555101931700992',) , 0.222
Rule: ('11469144838403584', '9869596206970368') ==> ('7304178417862144',) , 0.223
Rule: ('27659050913272320', '21352602247922688') ==> ('12890630300398464',) , 0.223
Rule: ('27659050913272320', '12890630300398464') ==> ('21352602247922688',) , 0.225
Rule: ('17730032213977472',) ==> ('17941835331811840',) , 0.226
Rule: ('15110169809568640',) ==> ('9452576893995904',) , 0.228
Rule: ('22932076739590784',) ==> ('17870158806017280',) , 0.229
Rule: ('14947015276061952',) ==> ('6880127975491840',) , 0.229
Rule: ('8649031194089216',) ==> ('11469144838403584',) , 0.230
Rule: ('22682133268421888',) ==> ('17941835331811840',) , 0.231
Rule: ('27659050913272320', '21352602247922688') ==> ('27424405030704256',) , 0.232
Rule: ('17941835331811840',) ==> ('22682133268421888',) , 0.233
Rule: ('9869596206970368',) ==> ('7304178417862144',) , 0.235
Rule: ('6897139535768448',) ==> ('10702039788833536',) , 0.236
Rule: ('17020968010150272', '11375118072159104') ==> ('9619453553227520',) , 0.236
Rule: ('10710203447951488',) ==> ('7622515220085888',) , 0.240
Rule: ('9763299255883392',) ==> ('17020968010150272',) , 0.241
Rule: ('27102415898330496',) ==> ('10666016019011968',) , 0.243
Rule: ('11469144838403584', '9869596206970368') ==> ('10666016019011968',) , 0.244
Rule: ('21793729483431168',) ==> ('10702039788833536',) , 0.245
Rule: ('27659050913272320', '25684213132401152') ==> ('27424405030704256',) , 0.245
Rule: ('9869596206970368', '7304178417862144') ==> ('10666016019011968',) , 0.246
Rule: ('11469144838403584',) ==> ('10666016019011968',) , 0.251
Rule: ('10702039788833536', '18140151421282816') ==> ('21793729483431168',) , 0.251
Rule: ('7304178417862144',) ==> ('11469144838403584',) , 0.251
Rule: ('8503562530852608',) ==> ('11469144838403584',) , 0.252
Rule: ('8574737923789056',) ==> ('11469144838403584',) , 0.252
Rule: ('11469144838403584', '6931495515974784') ==> ('10666016019011968',) , 0.252
Rule: ('22415744092814848',) ==> ('9452576893995904',) , 0.252
Rule: ('10666016019011968', '6931495515974784') ==> ('11469144838403584',) , 0.255
Rule: ('19630509169976064',) ==> ('7304178417862144',) , 0.256
Rule: ('11469144838403584', '7304178417862144') ==> ('10666016019011968',) , 0.258
Rule: ('9619453553227520', '11375118072159104') ==> ('17020968010150272',) , 0.262
Rule: ('4931541047197568',) ==> ('10666016019011968',) , 0.264
Rule: ('17871118731058944',) ==> ('17875816351653376',) , 0.265
Rule: ('8761980780914176', '24555101931700992') ==> ('5368145410852864',) , 0.266
Rule: ('22370628148540672', '5420474487543424') ==> ('27659050913272320',) , 0.269
Rule: ('25684213132401152', '12890630300398464') ==> ('21352602247922688',) , 0.269
Rule: ('27102415898330496',) ==> ('11469144838403584',) , 0.270
Rule: ('22370628148540672', '12890630300398464') ==> ('27659050913272320',) , 0.271
